Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
Mazda,Hatchback,1994,Manual,Petrol,1400,107000,"Rs. 900,000"
Suzuki,WAGON R,2015,Automatic,Hybrid,660,1400000,"Rs. 6,350,000"
Toyota,Vitz Edition 3,2019,Automatic,Petrol,1000,62000,"Rs. 9,450,000"
Toyota,Corolla 121 LX Limited,2006,Automatic,Petrol,1500,150000,"Rs. 7,150,000"
Toyota,Sprinter EE 111,2001,Automatic,Petrol,1300,0,Negotiable
Toyota,Passo,2004,Automatic,Petrol,990,212000,"Rs. 4,300,000"
Toyota,AE80,1985,Manual,Petrol,1300,200000,"Rs. 1,175,000"
Suzuki,Wagon R FX,2023,Automatic,Petrol,660,7000,"Rs. 7,550,000"
Daihatsu,Mira ES L,2023,Automatic,Petrol,660,Import,Negotiable
Mercedes-Benz,E200 Turbo AMG,2016,Automatic,Petrol,2000,86600,Negotiable
Mitsubishi,Lancer,1986,Manual,Petrol,1400,100000,"Rs. 625,000"
Toyota,Vitz,2017,Automatic,Petrol,1000,86000,"Rs. 8,675,000"
Nissan,Trad Sunny B12,1988,Manual,Petrol,1300,123456,"Rs. 1,300,000(Ongoing Lease)"
Toyota,Aqua,2013,Automatic,Hybrid,1490,137000,"Rs. 7,590,000"
Nissan,Bluebird QU14 Super Saloon,2001,Automatic,Petrol,1997,244000,"Rs. 3,495,000"
Toyota,Dx Wagon Ke72,1986,Manual,Petrol,1300,373527,"Rs. 1,150,000"
Toyota,Prius S Led Limited,2015,Automatic,Hybrid,1800,163000,"Rs. 12,190,000"
Mitsubishi,Lancer Cs1 Glx,2008,Automatic,Petrol,1330,157428,Negotiable
Suzuki,Spacia Custom,2016,Automatic,Hybrid,660,134000,"Rs. 6,450,000"
Suzuki,Alto Japan,2017,Automatic,Petrol,600,87000,"Rs. 5,600,000"
Toyota,Corolla CE 108,1999,Automatic,Diesel,2,235000,"Rs. 2,700,000"
Mitsubishi,Mirage,2001,Automatic,Petrol,1290,-,"Rs. 3,400,000"
Toyota,Premio 240,2002,Automatic,Petrol,1790,250000,"Rs. 6,700,000"
Toyota,Axio,2016,Automatic,Hybrid,1450,162000,Negotiable
