Site,Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
ikman.lk,Land Rover,Discovery,,2019,Automatic,Diesel,SUV,2000,"49,000.00"," 45,000,000.00 ",Yes, 918.37 
ikman.lk,Toyota ,Prius,S Touring ,2011,Automatic,Petrol,Hatchback,1800,"185,000.00"," 9,750,000.00 ",Yes, 52.70 
ikman.lk,Toyota ,Land Cruiser Sahara,V8,2008,Automatic,Petrol,SUV,4600,"131,000.00"," 45,000,000.00 ",Yes, 343.51 
ikman.lk,BMW ,740i,,2014,Automatic,Hybrid,Saloon,2979,"41,000.00"," 37,500,000.00 ",Yes, 914.63 
ikman.lk,Land Rover,Freelander,,2013,Automatic,Petrol,SUV,3000,"87,000.00"," 11,800,000.00 ",Yes, 135.63 
ikman.lk,Honda,Vezel,RS,2017,Automatic,Hybrid,Crossover,1500,"84,000.00"," 11,000,000.00 ",Yes, 130.95 
ikman.lk,Audi,Q3,S Line,2019,Triptonic,Petrol,Crossover,1500,"60,000.00"," 28,000,000.00 ",Yes, 466.67 
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
ikman.lk,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
