Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
Suzuki,Spacia G Grade Safety,2024,Automatic,Hybrid,660,7400,8675000
Micro,Mx7,2015,Manual,Petrol,1500,77000,3790000
Suzuki,Wagon R,2016,Automatic,Hybrid,650,48000,5750000
Honda,Grace EX,2014,Automatic,Hybrid,1480,139000,9700000
Suzuki,Wagon R Stingray,2018,Automatic,Hybrid,660,85000,7265000
Nissan,Hb11,1984,Manual,Petrol,1300,258000,985000
Daihatsu,Mira ES L Grade Safety,2023,Automatic,Petrol,660,800,6950000
Toyota,Soluna,2001,Automatic,Petrol,1500,171000,3175000
Hyundai,Accent,2001,Manual,Petrol,1300,115000,2350000
Suzuki,Wagon R Stingray,2019,Automatic,Petrol,650,51000,7980000
BMW,520D,2013,Automatic,Diesel,1990,105000,20700000
Nissan,FB14 Ex Saloon Red Light,1997,Automatic,Petrol,1500,165000,3175000
Mitsubishi,Lancer Fiore,1986,Manual,Petrol,1500,178000,1250000
Suzuki,Maruti 800,2012,Manual,Petrol,800,99000,2375000
Nissan,B11,1985,Manual,Petrol,1300,123,1025000
Tata,Indica V2,2008,Manual,Petrol,650,152400,1525000
Suzuki,Maruti,2012,Manual,Petrol,800,88000,2240000
Nissan,Sunny FB14,1998,Automatic,Petrol,1500,150000,3075000
Suzuki,Alto Japan,2003,Manual,Petrol,660,200000,3050000
Toyota,COROLLA EE90,1988,Manual,Petrol,1300,0,1875000
Suzuki,Baleno,2016,Automatic,Petrol,990,146000,7980000
Toyota,121 G Grade,2003,Automatic,Petrol,1500,183000,6650000
Toyota,Premio G Superior,2017,Automatic,Petrol,1500,96333,16750000
Toyota,Toyota,2000,Manual,Petrol,1500,237000,3150000
Suzuki,Baleno,2018,Automatic,Petrol,1000,85000,8650000
Suzuki,Swift,2004,Automatic,Petrol,1300,158905,4425000
Honda,Fd3,2008,Automatic,Hybrid,1330,152000,6800000
Mazda,Bj5pw,2002,Automatic,Petrol,1500,320000,4475000
Nissan,FB14 Ex Saloon,1995,Automatic,Petrol,1300,195000,2890000
Mitsubishi,EK X PREMIUM,2023,Automatic,Hybrid,660,3500,8975000
Mazda,Demio,2007,Automatic,Petrol,1300,166000,5090000
Chery,QQ,2007,Manual,Petrol,800,85462,1450000
Honda,Crz Mugen,2011,Automatic,Hybrid,1500,139000,7350000
Suzuki,Alto,2011,Manual,Petrol,800,120000,2975000
Suzuki,Alto,2015,Manual,Petrol,800,62200,3910000
Suzuki,Alto K10 Vxi,2016,Manual,Petrol,1000,155000,4100000
Mazda,Luce,1969,Manual,Petrol,1500,75000,480000
Nissan,March K11,2001,Automatic,Petrol,1000,183000,2650000
Suzuki,Alto,2016,Manual,Petrol,800,100000,3725000
Suzuki,Aerio,2007,Automatic,Petrol,1500,1119000,4390000
Toyota,Aqua S Grade,2013,Automatic,Hybrid,1500,125000,7590000
Toyota,Corolla 121,2000,Automatic,Petrol,1490,192918,5990000
Honda,NBox Custom,2025,Automatic,Petrol,660,0,11500000
