Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price (Rs.)
Hero,Pleasure,2010,,,99,0,"Rs. 228,000"
Hero-Honda,Hunk,2009,,,160,0,"Rs. 185,000"
Suzuki,Maruti 800,2008,Manual,Petrol,800,0,"Rs. 1,990,000"
Suzuki,Maruti,2007,Manual,Petrol,800,0,"Rs. 2,250,000"
Nissan,March,1997,Manual,Petrol,990,0,"Rs. 2,645,000"
Toyota,Vitz,2007,Automatic,Petrol,990,0,"Rs. 5,495,000"
Honda,City RS Turbo,2025,Automatic,Petrol,1000,0,"Rs. 13,990,000"
Suzuki,Zen,2008,Manual,Petrol,1000,0,"Rs. 3,395,000"
Toyota,Duet,2000,Automatic,Petrol,1000,0,"Rs. 3,350,000"
Toyota,YARIS ATIV,2025,Automatic,Petrol,1200,0,"Rs. 16,950,000"
Toyota,Ke72 Corolla DX,1986,Manual,Petrol,1300,0,"Rs. 1,075,000"
Toyota,Ee90,1988,Manual,Petrol,1300,0,"Rs. 2,050,000"
Toyota,111 Sprinter,1996,Automatic,Petrol,1300,0,"Rs. 2,975,000"
Toyota,Ee102,1996,Manual,Petrol,1330,0,"Rs. 2,475,000"
Nissan,AD Wagon,2000,Automatic,Petrol,1490,0,"Rs. 3,395,000"
Mazda,Familia 323,2003,Manual,Petrol,1500,0,"Rs. 3,200,000"
Micro,Geely MX7,2012,Manual,Petrol,1500,0,"Rs. 3,175,000"
Nissan,Trad Sunny,1987,Manual,Petrol,1500,0,"Rs. 1,890,000"
Toyota,Corolla AE91,1991,Manual,Petrol,1500,0,"Rs. 2,410,000"
Toyota,Prius S LED,2013,Automatic,Petrol,1800,0,"Rs. 11,200,000"
Mitsubishi,Tipper,1987,Manual,Diesel,3700,0,"Rs. 4,575,000"
Nissan,N16,2000,Automatic,Petrol,15000,0,"Rs. 4,175,000"
Chery,QQ,2008,Manual,Petrol,800,1,"Rs. 1,575,000"
Suzuki,Maruti Zen,2008,Manual,Petrol,1000,1,"Rs. 3,395,000"
Toyota,Vitz,1999,Automatic,Petrol,1000,1,"Rs. 4,195,000"
Nissan,Sunny VE11,1986,Manual,Petrol,1270,1,"Rs. 1,500,000"
Toyota,K E 72 DX Wagon,1984,Manual,Petrol,1290,1,"Rs. 1,050,000"
Suzuki,Swift,2003,Automatic,Petrol,1300,1,"Rs. 3,850,000"
Tata,Vista,2011,Manual,Petrol,1300,1,"Rs. 2,790,000"
Toyota,Corolla AE100,1992,Manual,Petrol,1330,1,"Rs. 2,495,000"
Mitsubishi,Lancer Wagon,1979,Manual,Petrol,1400,1,"Rs. 345,000"
Nissan,AD Wagon,2000,Automatic,Petrol,1490,1,"Rs. 3,295,000"
Mitsubishi,C12 GLX,1986,Manual,Petrol,1500,1,"Rs. 675,000"
Nissan,Sunny FB14,1998,Manual,Petrol,1500,1,"Rs. 3,175,000"
Toyota,Prius,2009,Automatic,Hybrid,1790,1,"Rs. 8,995,000"
Toyota,Yaris Ativ Night Shade Pack,2025,Automatic,Petrol,1200,2,"Rs. 16,200,000"
Toyota,Corolla 121,2004,Manual,Petrol,1350,2,"Rs. 5,350,000"
Toyota,Corolla AE110,1997,Manual,Diesel,2000,2,"Rs. 3,550,000"
Toyota,Corona Premio CT210,1996,Automatic,Diesel,2000,2,"Rs. 3,875,000"
Daihatsu,Mira G Limited,2025,Automatic,Petrol,658,3,"Rs. 7,550,000"
Toyota,Corolla 110,1997,Automatic,Diesel,2000,3,"Rs. 3,795,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Hybrid,660,4,"Rs. 8,775,000"
Suzuki,Wagon R ZX,2023,Automatic,Hybrid,660,10,"Rs. 7,700,000"
Suzuki,Wagon R Custom Z Zx,2025,Automatic,Petrol,660,14,"Rs. 8,800,000"
Nissan,Sunny Ex Saloon,2002,Manual,Petrol,1300,14,"Rs. 4,000,000"
Nissan,N16,2001,Automatic,Petrol,1600,15,"Rs. 3,675,000"
Nissan,N16,2003,Manual,Petrol,1500,16,"Rs. 4,275,000"
Suzuki,Wagon R Custom Z Hybrid,2025,Automatic,Hybrid,660,19,"Rs. 8,740,000"
Suzuki,Wagon R Custom Z Hybrid,2025,Automatic,Hybrid,650,25,"Rs. 8,380,000"
Suzuki,Wagon R FX Safety,2025,Automatic,Hybrid,660,25,"Rs. 7,990,000"
Suzuki,Wagon R FX Safety,2025,Automatic,Hybrid,660,25,"Rs. 7,990,000"
Suzuki,Wagon R FX Safety,2025,Automatic,Hybrid,660,25,"Rs. 7,990,000"
Suzuki,Wagon R FX Safety,2025,Automatic,Hybrid,660,25,"Rs. 7,990,000"
Suzuki,Wagon R FX Safety,2025,Automatic,Hybrid,660,25,"Rs. 7,990,000"
Toyota,Yaris X Limited,2022,Automatic,Petrol,1000,25,"Rs. 8,900,000"
Toyota,Yaris X Limited,2022,Automatic,Petrol,1000,25,"Rs. 8,900,000"
Toyota,Yaris X Limited,2022,Automatic,Petrol,1000,25,"Rs. 8,900,000"
Toyota,Yaris X Limited,2022,Automatic,Petrol,1000,25,"Rs. 8,900,000"
Nissan,DAYZ HIGHWAY STAR X,2025,Automatic,Hybrid,660,27,"Rs. 8,400,000"
Honda,Civic Tech Pack,2018,Automatic,Petrol,1000,79,"Rs. 12,690,000"
Suzuki,Alto,2015,Manual,Petrol,800,90,"Rs. 3,850,000"
Nissan,March,2002,Automatic,Petrol,1000,99,"Rs. 3,125,000"
Micro,Ssangyong,2016,Automatic,Petrol,1597,99,"Rs. 7,000,000"
Nissan,March,2003,Automatic,Petrol,1000,111,"Rs. 2,775,000"
Nissan,March,2008,Automatic,Petrol,1300,111,"Rs. 4,500,000"
Toyota,Corolla EE 80,1989,Manual,Petrol,1400,111,"Rs. 1,285,000"
Toyota,Corolla AE91,1990,Manual,Petrol,1490,111,"Rs. 2,175,000"
Nissan,B11,1984,Manual,Diesel,1900,111,"Rs. 825,000"
Toyota,Ce 108 Elephant Back,1997,Automatic,Diesel,2000,111,"Rs. 3,100,000"
Bajaj,Qute,2019,Manual,Petrol,216,123,"Rs. 1,295,000"
Suzuki,Alto,2000,Automatic,Petrol,650,123,"Rs. 3,195,000"
Micro,Panda,2014,Manual,Petrol,1000,123,"Rs. 2,895,000"
Suzuki,Maruti Zen,2008,Manual,Petrol,1000,123,"Rs. 3,395,000"
Nissan,Sunny B211 Super Gl,1976,Manual,Petrol,1200,123,"Rs. 1,150,000"
Nissan,N16 Super Saloon,2000,Automatic,Petrol,1500,123,"Rs. 3,700,000"
Toyota,Corona AT 140,1983,Manual,Diesel,1500,123,"Rs. 1,120,000"
Suzuki,Wagon R Stingray,2014,Automatic,Petrol,650,125,"Rs. 5,690,000"
Kia,Carens,2001,Automatic,Petrol,1800,125,"Rs. 2,650,000"
Suzuki,Alto,2014,Manual,Petrol,800,131,"Rs. 3,625,000"
Suzuki,SWIFT,2008,Manual,Petrol,1300,132,"Rs. 4,190,000"
Tata,Nano,2011,Manual,Petrol,624,133,"Rs. 1,285,000"
Toyota,Ist G Grade,2007,Automatic,Petrol,1500,135,"Rs. 63,750,000"
Suzuki,Wagon R Stingray,2016,Automatic,Petrol,660,136,"Rs. 5,480,000"
Honda,FIT GP5 S Grade,2014,Automatic,Hybrid,1500,139,"Rs. 7,650,000"
Perodua,Viva Elite Premium,2012,Automatic,Petrol,1000,145,"Rs. 4,650,000"
Toyota,COROLLA DX,1998,Manual,Petrol,1300,150,"Rs. 2,650,000"
Nissan,FB15 EX Saloon,2001,Automatic,Petrol,1500,150,"Rs. 4,150,000"
Toyota,Axio,2007,Automatic,Petrol,1500,150,"Rs. 6,900,000"
Toyota,Vitz,2002,Automatic,Petrol,1000,155,"Rs. 3,870,000"
Suzuki,Swift Japan,2007,Automatic,Petrol,1500,155,"Rs. 4,950,000"
Toyota,Premio G Superior,2013,Automatic,Petrol,1500,155,"Rs. 10,975,000"
Suzuki,Hustler,2015,Automatic,Hybrid,660,158,"Rs. 5,590,000"
Toyota,Corolla 141 XLI,2007,Manual,Diesel,2000,159,"Rs. 5,650,000"
Nissan,A D Wagon,1999,Automatic,Petrol,1300,160,"Rs. 2,575,000"
Suzuki,Swift,2008,Automatic,Petrol,1500,160,"Rs. 5,290,000"
Nissan,FB14,1998,Automatic,Petrol,1500,162,"Rs. 3,275,000"
Nissan,Bluebird Sylphy G11,2008,Automatic,Petrol,1500,169,"Rs. 6,075,000"
Toyota,PREMIO,2013,Automatic,Petrol,1500,172,"Rs. 11,850,000"
Nissan,FB15 EX Saloon,2000,Automatic,Petrol,1500,180,"Rs. 3,875,000"
Toyota,Vitz,2008,Automatic,Petrol,1300,183,"Rs. 5,980,000"
Nissan,V6 Luxury,2000,Automatic,Petrol,2000,183,"Rs. 8,750,000"
Toyota,Vitz,2001,Automatic,Petrol,1000,190,"Rs. 3,850,000"
Suzuki,Swift Japan,2007,Automatic,Petrol,1300,190,"Rs. 5,250,000"
Nissan,FB15,2003,Automatic,Petrol,1500,190,"Rs. 4,500,000"
Toyota,ALLION 240,2005,Automatic,Petrol,1500,190,"Rs. 6,750,000"
BMW,320d E46,1999,Manual,Diesel,1990,193,"Rs. 5,900,000"
Toyota,Starlet,1998,Automatic,Petrol,1200,196,"Rs. 4,290,000"
Tata,Nano,2011,Manual,Petrol,624,200,"Rs. 1,475,000"
Toyota,Allion 260 G,2010,Automatic,Petrol,1500,218,"Rs. 8,800,000"
Mitsubishi,Galant,1979,Manual,Petrol,1500,222,"Rs. 11,111"
Toyota,Yaris X Grade,2025,Automatic,Petrol,1000,240,"Rs. 9,600,000"
Suzuki,Hustler G Grade,2025,Automatic,Petrol,660,244,"Rs. 8,000,000"
Suzuki,Hustler Taught Wild Turbo,2024,Automatic,Hybrid,660,245,"Rs. 8,800,000"
Toyota,Roomy Custom GT,2025,Automatic,Petrol,1000,250,"Rs. 11,000,000"
Toyota,Camry,1994,Manual,Diesel,2000,254,"Rs. 2,550,000"
Toyota,Yaris X Grade,2025,Automatic,Petrol,1000,260,"Rs. 9,975,000"
Mazda,Familia,1990,Manual,Petrol,1300,260,"Rs. 1,850,000"
Daihatsu,TAFT,2024,Automatic,Petrol,660,280,"Rs. 8,650,000"
Suzuki,Wagon R Stingray Turbo,2025,Automatic,Hybrid,650,287,"Rs. 9,050,000"
Daihatsu,Mira ES,2025,Automatic,Petrol,650,300,"Rs. 6,850,000"
Suzuki,Spacia Coustom XS,2024,Automatic,Petrol,660,300,"Rs. 10,190,000"
Toyota,Yaris G Grade,2025,Automatic,Petrol,1000,300,"Rs. 12,950,000"
Toyota,ROOMY GT TURBO,2025,Automatic,Petrol,996,315,"Rs. 11,300,000"
Toyota,Dolphin,1991,Manual,Diesel,2770,315,"Rs. 6,850,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Petrol,649,350,"Rs. 8,600,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Petrol,649,350,"Rs. 8,600,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Petrol,649,350,"Rs. 8,600,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Petrol,649,350,"Rs. 8,600,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Petrol,649,350,"Rs. 8,600,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Petrol,649,350,"Rs. 8,600,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Petrol,649,350,"Rs. 8,600,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Petrol,649,350,"Rs. 8,600,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Petrol,649,350,"Rs. 8,600,000"
Toyota,Roomy Custom GT Turbo,2025,Automatic,Petrol,1000,350,"Rs. 11,650,000"
Toyota,110,1996,Manual,Diesel,1800,385,"Rs. 2,950,000"
Suzuki,Wagon R Custom Z,2025,Automatic,Hybrid,650,398,"Rs. 9,140,000"
Daihatsu,Tanto,2024,Automatic,Petrol,660,400,"Rs. 8,750,000"
Suzuki,Hustler,2024,Automatic,Hybrid,660,500,"Rs. 7,850,000"
Nissan,Dayz Highway Star PROPILOT,2023,Automatic,Hybrid,660,900,"Rs. 8,190,000"
Daihatsu,Mira ES L,2025,Automatic,Petrol,650,1000,"Rs. 6,475,000"
Suzuki,Wagon R,2024,Automatic,Petrol,660,1000,"Rs. 6,850,000"
Suzuki,Wagon R,2024,Automatic,Petrol,660,1000,"Rs. 6,850,000"
Suzuki,Wagon R,2024,Automatic,Petrol,660,1000,"Rs. 6,850,000"
Toyota,Ke72,1983,Manual,Petrol,1300,1000,"Rs. 400,000"
Mitsubishi,Lancer Wagon GL,1978,Manual,Petrol,1400,1000,"Rs. 315,000"
Suzuki,WAGON R FX,2024,Automatic,Petrol,650,1107,"Rs. 7,775,000"
Daihatsu,Charade G10,1991,Manual,Diesel,1000,1111,"Rs. 1,650,000"
Nissan,March K10,1986,Manual,Petrol,1000,1111,"Rs. 1,275,000"
Toyota,Corolla 96,1992,Manual,Petrol,1300,1111,"Rs. 1,900,000"
Mazda,323,1992,Manual,Petrol,1400,1111,"Rs. 1,800,000"
Toyota,Corona AT140,1984,Manual,Petrol,1500,1111,"Rs. 1,150,000"
Toyota,Corona AT140,1984,Manual,Petrol,1500,1111,"Rs. 1,150,000"
Toyota,Corona At170,1990,Manual,Petrol,1500,1111,"Rs. 2,150,000"
Toyota,PIXIS EPOCH,2025,Automatic,Petrol,660,1150,"Rs. 7,550,000"
Suzuki,Alto,2005,Manual,Petrol,800,1234,"Rs. 2,495,000"
Suzuki,Alto,2008,Manual,Petrol,800,1234,"Rs. 2,665,000"
Mazda,Familia,2001,Manual,Petrol,1300,1234,"Rs. 625,000"
Nissan,AD Wagon,1999,Automatic,Petrol,1300,1234,"Rs. 3,225,000"
Toyota,Ee98,1990,Manual,Petrol,1300,1234,"Rs. 1,825,000"
Toyota,Ee96,1990,Manual,Petrol,1300,1234,"Rs. 1,825,000"
Toyota,Corolla KE72,1984,Manual,Petrol,1300,1234,"Rs. 825,000"
Toyota,Corolla DX Wagon,1985,Manual,Petrol,1300,1234,"Rs. 880,000"
Toyota,Starlet EP91,2000,Manual,Petrol,1330,1234,"Rs. 3,450,000"
Isuzu,Gemini,1988,Manual,Diesel,1500,1234,"Rs. 695,000"
Mazda,Familia,1994,Manual,Petrol,1500,1234,"Rs. 1,650,000"
Nissan,FB15,2000,Automatic,Petrol,1500,1234,"Rs. 4,175,000"
Toyota,Corolla 121,2000,Automatic,Petrol,1500,1234,"Rs. 6,250,000"
Toyota,Carina Aa60,1983,Manual,Petrol,1800,1234,"Rs. 1,500,000"
Nissan,Sunny SB14 Ex Saloon,1997,Automatic,Diesel,1970,1300,"Rs. 2,600,000"
Toyota,YARIS ATIV SPORT,2025,Automatic,Petrol,1200,1400,"Rs. 12,990,000"
Suzuki,Wagon R Fx Safety,2025,Automatic,Petrol,660,1500,"Rs. 7,450,000"
Suzuki,SPACIA CUSTOM XS TURBO,2023,Automatic,Hybrid,660,1500,"Rs. 9,075,000"
Nissan,N16,2000,Automatic,Petrol,1500,1500,"Rs. 3,795,000"
Nissan,FB15,1999,Automatic,Petrol,1500,1500,"Rs. 3,980,000"
Toyota,Vios,2005,Manual,Petrol,1500,1500,"Rs. 4,000,000"
Toyota,PIXIS G LED,2023,Automatic,Petrol,660,1700,"Rs. 7,490,000"
Nissan,Dayz,2023,Automatic,Hybrid,660,1800,"Rs. 8,200,000"
Nissan,Dayz,2023,Automatic,Hybrid,660,1800,"Rs. 8,200,000"
Nissan,Dayz,2023,Automatic,Hybrid,660,1800,"Rs. 8,200,000"
Nissan,Dayz,2023,Automatic,Hybrid,660,1800,"Rs. 8,200,000"
Nissan,Dayz,2023,Automatic,Hybrid,660,1800,"Rs. 8,200,000"
Kia,Rio Rs,2000,Automatic,Petrol,1493,1899,"Rs. 2,475,000"
Kia,Rio Rs,2000,Automatic,Petrol,1493,1899,"Rs. 2,475,000"
Daihatsu,Mira ES L SA3,2025,Automatic,Petrol,660,1900,"Rs. 6,400,000"
Suzuki,Wagon R Custom ZX,2025,Automatic,Hybrid,660,1900,"Rs. 8,550,000"
Daihatsu,TAFT,2025,Automatic,Petrol,660,2000,"Rs. 8,500,000"
Suzuki,Alto L Grade,2024,Automatic,Hybrid,660,2000,"Rs. 6,575,000"
Toyota,Yaris X,2024,Automatic,Petrol,1000,2000,"Rs. 9,450,000"
Suzuki,Alto,2023,Automatic,Petrol,660,2300,"Rs. 6,375,000"
Daihatsu,Mira Es X Limited,2024,Automatic,Petrol,650,2350,"Rs. 6,900,000"
Daihatsu,Mira ES L SAIII Safety,2024,Automatic,Petrol,660,2400,"Rs. 6,600,000"
Suzuki,Alto Hybrid S,2024,Automatic,Petrol,660,2400,"Rs. 6,950,000"
Micro,Trend,2010,Manual,Petrol,1050,2464,"Rs. 1,750,000"
Micro,Trend,2010,Manual,Petrol,1050,2464,"Rs. 1,750,000"
Daihatsu,Tanto,2025,Automatic,Petrol,660,2500,"Rs. 8,650,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,2508,"Rs. 6,190,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,2508,"Rs. 6,190,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,2508,"Rs. 6,190,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,2508,"Rs. 6,190,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,2508,"Rs. 6,190,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,2508,"Rs. 6,190,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,2508,"Rs. 6,190,000"
Suzuki,WAGON R FX,2024,Automatic,Petrol,650,2511,"Rs. 7,775,000"
Toyota,Yaris G Grade,2024,Automatic,Petrol,1000,2600,"Rs. 10,350,000"
Toyota,Yaris,2024,Automatic,Petrol,10000,2600,"Rs. 9,550,000"
Suzuki,WAGON R FX SAFETY,2024,Automatic,Petrol,660,2800,"Rs. 7,350,000"
Mitsubishi,EK Wagon M,2024,Automatic,Petrol,650,2900,"Rs. 6,990,000"
Nissan,Roox,2025,Automatic,Petrol,650,2900,"Rs. 8,900,000"
Suzuki,Wagon R FX Safety,2024,Automatic,Petrol,660,2975,"Rs. 6,975,000"
Suzuki,Wagon R FX Safety,2024,Automatic,Petrol,660,2975,"Rs. 6,975,000"
Daihatsu,Mira L Safety,2024,Automatic,Petrol,650,3000,"Rs. 6,350,000"
Daihatsu,Mira SA3 X Safety,2025,Automatic,Petrol,650,3000,"Rs. 6,795,000"
Daihatsu,Mira Es X Limited,2024,Automatic,Petrol,650,3000,"Rs. 6,975,000"
Nissan,Dayz X,2023,Automatic,Petrol,650,3000,"Rs. 7,600,000"
Suzuki,Wagon R Custom Hybrid ZX,2024,Automatic,Hybrid,650,3000,"Rs. 8,650,000"
Suzuki,Wagon R Custom Hybrid ZX,2024,Automatic,Hybrid,650,3000,"Rs. 8,650,000"
Suzuki,Wagon R Custom Hybrid ZX,2024,Automatic,Hybrid,650,3000,"Rs. 8,650,000"
Suzuki,Wagon R Custom Hybrid ZX,2024,Automatic,Hybrid,650,3000,"Rs. 8,650,000"
Suzuki,Wagon R Custom Hybrid ZX,2024,Automatic,Hybrid,650,3000,"Rs. 8,650,000"
Suzuki,Wagon R Custom Hybrid ZX,2024,Automatic,Hybrid,650,3000,"Rs. 8,650,000"
Suzuki,Wagon R Custom Hybrid ZX,2024,Automatic,Hybrid,650,3000,"Rs. 8,650,000"
Daihatsu,Mira L,2025,Automatic,Petrol,660,3000,"Rs. 5,900,000"
Daihatsu,Mira X IMPORT,2024,Automatic,Petrol,660,3000,"Rs. 6,390,000"
Daihatsu,Mira X IMPORT,2024,Automatic,Petrol,660,3000,"Rs. 6,390,000"
Daihatsu,Mira X IMPORT,2024,Automatic,Petrol,660,3000,"Rs. 6,390,000"
Daihatsu,Mira X IMPORT,2024,Automatic,Petrol,660,3000,"Rs. 6,390,000"
Daihatsu,Mira X IMPORT,2024,Automatic,Petrol,660,3000,"Rs. 6,390,000"
Daihatsu,Mira X IMPORT,2024,Automatic,Petrol,660,3000,"Rs. 6,390,000"
Daihatsu,Mira X IMPORT,2024,Automatic,Petrol,660,3000,"Rs. 6,390,000"
Daihatsu,Mira X IMPORT,2024,Automatic,Petrol,660,3000,"Rs. 6,390,000"
Daihatsu,Mira X Limited,2024,Automatic,Petrol,660,3000,"Rs. 6,730,000"
Toyota,Yaris X Grade,2023,Automatic,Petrol,1000,3000,"Rs. 9,050,000"
Suzuki,WAGON R ZT,2024,Automatic,Hybrid,660,3100,"Rs. 8,775,000"
Toyota,COROLLA WXB,2023,Automatic,Petrol,1500,3166,"Rs. 16,500,000"
Volkswagen,T-cross,2024,Automatic,Petrol,1000,3350,"Rs. 14,900,000"
Nissan,Dayz Propilot G Grade,2023,Automatic,Petrol,660,3400,"Rs. 8,350,000"
Volkswagen,T Cross,2023,Automatic,Petrol,1000,3400,"Rs. 13,790,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,3420,"Rs. 6,150,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,3420,"Rs. 6,150,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,3420,"Rs. 6,150,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,3420,"Rs. 6,150,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,3420,"Rs. 6,150,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,3420,"Rs. 6,150,000"
Daihatsu,Mira L Grade,2024,Automatic,Petrol,650,3420,"Rs. 6,150,000"
Suzuki,Wagon R FX,2024,Automatic,Petrol,650,3500,"Rs. 7,375,000"
Daihatsu,MIRA ES L,2024,Automatic,Petrol,660,3669,"Rs. 6,400,000"
Daihatsu,MIRA ES L,2024,Automatic,Petrol,660,3669,"Rs. 6,400,000"
Daihatsu,MIRA ES L,2024,Automatic,Petrol,660,3669,"Rs. 6,400,000"
Daihatsu,MIRA ES L,2024,Automatic,Petrol,660,3669,"Rs. 6,400,000"
Daihatsu,MIRA ES L,2024,Automatic,Petrol,660,3669,"Rs. 6,400,000"
Daihatsu,Mira X Limited,2024,Automatic,Petrol,660,3700,"Rs. 6,825,000"
Suzuki,WAGON R FX,2023,Automatic,Petrol,650,3872,"Rs. 7,775,000"
Suzuki,Wagon R Custom Z,2024,Automatic,Hybrid,650,3900,"Rs. 8,250,000"
Suzuki,Spacia Custom,2025,Automatic,Petrol,650,4000,"Rs. 9,500,000"
Daihatsu,Mira L SA3 Import IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 5,950,000"
Daihatsu,Mira L SA3 Import IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 5,950,000"
Daihatsu,Mira L SA3 Import IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 5,950,000"
Daihatsu,Mira L SA3 Import IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 5,950,000"
Daihatsu,Mira L SA3 Import IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 5,950,000"
Daihatsu,Mira L SA3 Import IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 5,950,000"
Daihatsu,Mira L SA3 Import IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 5,950,000"
Daihatsu,Mira L SA3 Import IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 5,950,000"
Daihatsu,TAFT G DARK CHROME VENTURE,2025,Automatic,Petrol,660,4000,"Rs. 7,900,000"
Nissan,DAYZ HIGHWAY STAR X PROPILOT,2025,Automatic,Petrol,660,4000,"Rs. 7,700,000"
Nissan,Highway Star X,2024,Automatic,Hybrid,660,4000,"Rs. 7,950,000"
Suzuki,Wagon R Fx Safety IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 6,750,000"
Suzuki,Wagon R Fx Safety IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 6,750,000"
Suzuki,Wagon R Fx Safety IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 6,750,000"
Suzuki,Wagon R Fx Safety IMPORT,2024,Automatic,Petrol,660,4000,"Rs. 6,750,000"
Toyota,Yaris Ativ Sport,2025,Automatic,Petrol,1200,4150,"Rs. 13,700,000"
Suzuki,Wagon R Custom Z,2023,Automatic,Hybrid,660,4200,"Rs. 8,050,000"
Suzuki,Wagon R FX Safety,2024,Automatic,Petrol,660,4500,"Rs. 7,100,000"
Toyota,Roomy X,2025,Automatic,Petrol,1000,4500,"Rs. 8,300,000"
Toyota,Yaris X Grade,2023,Automatic,Petrol,1000,4500,"Rs. 8,990,000"
Nissan,B310,1978,Manual,Petrol,1200,4791,"Rs. 890,000"
Nissan,Sakura EV,2024,Automatic,Electric,48,5000,"Rs. 7,995,000"
Nissan,AURA FE13 G LEATHER EDITION,2024,Automatic,Electric,100,5000,"Rs. 14,250,000"
Suzuki,Wagon R Hybrid,2025,Automatic,Hybrid,650,5000,"Rs. 8,050,000"
Nissan,Dayz Highway Star X,2025,Automatic,Hybrid,660,5000,"Rs. 7,700,000"
Toyota,Roomy Custom GT,2023,Automatic,Petrol,1000,5000,"Rs. 10,750,000"
Suzuki,Spacia Custom Xs,2023,Automatic,Hybrid,660,5200,"Rs. 2,000,000"
Toyota,Yaris,2023,Automatic,Petrol,1000,5200,"Rs. 10,000,000"
Toyota,Roomy,2024,Automatic,Petrol,1000,5200,"Rs. 10,600,000"
Suzuki,Wagon R,2023,Automatic,Petrol,660,5660,"Rs. 7,250,000"
Suzuki,Wagon R Fx,2024,Automatic,Petrol,650,5938,"Rs. 7,290,000"
Audi,A3 Sedan Safety Line,2023,Automatic,Petrol,1000,5960,"Rs. 18,150,000"
Suzuki,Wagon R Custom Z,2023,Automatic,Petrol,650,6000,"Rs. 8,350,000"
Nissan,Dayz Highway Star G-Turbo,2025,Automatic,Hybrid,660,6000,"Rs. 8,650,000"
Suzuki,Alto L Safety,2024,Automatic,Petrol,660,6000,"Rs. 6,495,000"
Toyota,Yaris G Grade,2024,Automatic,Petrol,1000,6000,"Rs. 10,650,000"
Toyota,Passo XL Grade,2022,Automatic,Petrol,1000,6000,"Rs. 8,550,000"
Toyota,Passo XL Grade,2023,Automatic,Petrol,1000,6000,"Rs. 8,800,000"
BYD,ATTO3,2025,Automatic,Electric,100,6500,"Rs. 15,300,000"
Daihatsu,Mira ES,2023,Automatic,Petrol,660,7000,"Rs. 6,290,000"
Daihatsu,Taft,2024,Automatic,Petrol,660,7000,"Rs. 8,150,000"
Suzuki,Wagon R FX Safety,2024,Automatic,Petrol,660,7000,"Rs. 7,250,000"
Toyota,Yaris Cross Z Premium,2023,Automatic,Hybrid,1500,7000,"Rs. 15,650,000"
Daihatsu,Taft G Chrome,2024,Automatic,Petrol,650,7200,"Rs. 8,195,000"
Daihatsu,Taft G Chrome,2024,Automatic,Petrol,650,7200,"Rs. 8,195,000"
Daihatsu,Taft G Chrome,2024,Automatic,Petrol,650,7200,"Rs. 8,195,000"
Daihatsu,Taft G Chrome,2024,Automatic,Petrol,650,7200,"Rs. 8,195,000"
Daihatsu,Taft G Chrome,2024,Automatic,Petrol,650,7200,"Rs. 8,195,000"
Daihatsu,Taft G Chrome,2024,Automatic,Petrol,650,7200,"Rs. 8,195,000"
Daihatsu,Taft G Chrome,2024,Automatic,Petrol,650,7200,"Rs. 8,195,000"
Daihatsu,Mira ES X LTD,2023,Automatic,Petrol,660,7300,"Rs. 6,750,000"
Audi,A3,2019,Automatic,Petrol,1100,7400,"Rs. 16,000,000"
Toyota,Roomy,2023,Automatic,Petrol,996,7465,"Rs. 10,580,000"
Toyota,Roomy Custom GT,2023,Automatic,Petrol,1000,7500,"Rs. 10,700,000"
