Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price Rs.,Negotiable
Mitsubishi,Lancer,veri.good,1989,Manual,Petrol,Saloon,"1,200 cc","4,800 km","Rs 1,250,000",Yes
Nissan,Sunny,16,1986,Manual,Petrol,Hatchback,"1,500 cc","42,000 km","Rs 1,250,000",Yes
Nissan,Sunny,16,1986,Manual,Petrol,Hatchback,"1,500 cc","42,000 km","Rs 1,250,000",Yes
Peugeot,405,GL,1998,Automatic,Diesel,Saloon,"1,900 cc","450,607 km","Rs 1,250,000",No
Suzuki,Maruti,,1987,Manual,Petrol,Hatchback,800 cc,"95,000 km","Rs 1,270,000",Yes
Honda,Civic,Honda civic,1985,Manual,Petrol,Saloon,"1,500 cc","170,000 km","Rs 1,275,000",Yes
Mitsubishi,Lancer,,1980,Manual,Petrol,Saloon,"1,400 cc","200,000 km","Rs 1,280,000",Yes
Toyota,Carina,AT150,1985,Manual,Petrol,Saloon,"1,500 cc","210,000 km","Rs 1,290,000",Yes
Toyota,Corolla,KE72 DX Wagon,1986,Manual,Petrol,Station wagon,"1,300 cc","287,000 km","Rs 1,295,000",No
Bajaj,Qute,,2018,Manual,Petrol,Hatchback,216 cc,"59,997 km","Rs 1,300,000",No
Bajaj,Qute,2018,2018,Manual,Petrol,Hatchback,217 cc,"32,000 km","Rs 1,300,000",No
Isuzu,Gemini,Racing,1993,Manual,Diesel,Saloon,"1,600 cc","80,000 km","Rs 1,300,000",No
Mazda,Other Model,MR90,1992,Manual,Petrol,Hatchback,"1,400 cc","99,000 km","Rs 1,300,000",No
Mitsubishi,Lancer,GL,1994,Manual,Petrol,Saloon,"1,300 cc","125,000 km","Rs 1,300,000",No
Mitsubishi,Lancer,Lancer Box,1983,Manual,Petrol,Saloon,"1,400 cc","50,000 km","Rs 1,300,000",No
Toyota,Corolla,DX KE 72,1985,Manual,Petrol,Hatchback,"1,300 cc","196,000 km","Rs 1,300,000",Yes
Toyota,Sprinter,Saloon,1988,Manual,Petrol,Saloon,"1,350 cc","248,800 km","Rs 1,300,000",Yes
Toyota,Corolla,,1988,Manual,Diesel,Hatchback,"1,450 cc","200,000 km","Rs 1,300,000",Yes
Toyota,Corolla,DX 1983,1983,Manual,Petrol,,"1,290 cc","144,000 km","Rs 1,310,000",Yes
Mazda,Familia,Mazda,1988,Manual,Petrol,,"1,500 cc","120,000 km","Rs 1,325,000",Yes
Mazda,Familia,Mazda,1988,Manual,Petrol,,"1,500 cc","120,000 km","Rs 1,325,000",Yes
Mitsubishi,Lancer,,1980,Manual,Petrol,,"1,400 cc","230,000 km","Rs 1,325,000",Yes
Bajaj,Qute,,2019,Manual,Petrol,Hatchback,216 cc,"30,000 km","Rs 1,350,000",Yes
Honda,Civic,Honda,1990,Manual,Petrol,Saloon,"1,300 cc","294,000 km","Rs 1,350,000",No
Mazda,Familia,,1989,Manual,Petrol,Saloon,"1,500 cc","265,000 km","Rs 1,350,000",Yes
Mazda,Familia,Familia,1985,Manual,Petrol,Hatchback,"1,300 cc","400,000 km","Rs 1,350,000",Yes
Micro,Other Model,Privilege 2006,2006,Manual,Petrol,Hatchback,800 cc,"60,000 km","Rs 1,350,000",No
Mitsubishi,Galant,1987,1987,Manual,Petrol,Saloon,"1,600 cc","319,200 km","Rs 1,350,000",Yes
Morris,Minor,,1953,Manual,Petrol,,"1,000 cc","100,000 km","Rs 1,350,000",Yes
Nissan,Sunny,nissan HB12,1987,Manual,Petrol,Station wagon,"1,480 cc","15,899 km","Rs 1,350,000",No
Tata,Nano,EXV,2011,Manual,Petrol,Saloon,624 cc,"13,000 km","Rs 1,350,000",Yes
Tata,Nano,EXV,2011,Manual,Petrol,Saloon,624 cc,"13,000 km","Rs 1,350,000",Yes
Tata,Nano,2012 lx,2012,Manual,Petrol,Hatchback,624 cc,"50,000 km","Rs 1,350,000",Yes
Toyota,Crown,Standard,1983,Manual,Diesel,Saloon,"2,150 cc","250,000 km","Rs 1,350,000",No
Mazda,Familia,,1988,Manual,Petrol,,"1,500 cc","112,000 km","Rs 1,360,000",Yes
Mitsubishi,Lancer,,1983,Manual,Petrol,Saloon,"1,400 cc","100,000 km","Rs 1,360,000",No
Tata,Nano,,2012,Manual,Petrol,Hatchback,624 cc,"89,321 km","Rs 1,370,000",No
Tata,Nano,,2012,Manual,Petrol,Hatchback,624 cc,"89,321 km","Rs 1,370,000",No
Tata,Nano,,2012,Manual,Petrol,Hatchback,624 cc,"89,321 km","Rs 1,370,000",No
Mitsubishi,Lancer,Mitsubishi,1991,Manual,Petrol,Saloon,"1,800 cc","140,000 km","Rs 1,375,000",Yes
