Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price Rs.,Negotiable
Nissan,X-Trail,Mode Premier,2016,Automatic,Hybrid,SUV / 4x4,"2,000 cc","67,800 km","Rs 11,700,000",Yes
Nissan,X-Trail,Mode Premier,2016,Automatic,Hybrid,SUV / 4x4,"2,000 cc","67,800 km","Rs 11,700,000",Yes
Toyota,Taisor,BRAND NEW,2024,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,700,000",Yes
Toyota,Taisor,V,2024,Automatic,Petrol,SUV / 4x4,"1,000 cc",150 km,"Rs 11,700,000",Yes
Toyota,Roomy,brand new,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,700,000",Yes
Toyota,Premio,,2014,Automatic,Petrol,Saloon,"1,500 cc","119,890 km","Rs 11,700,000",Yes
MG,ZS,MCE 2025,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc","12,800 km","Rs 11,720,000",Yes
Daihatsu,Rocky,Premium G Petrol,2025,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,750,000",No
DFSK,Other Model,I Auto,2021,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","31,000 km","Rs 11,750,000",No
Mercedes Benz,C220,diesel,2013,Automatic,Diesel,Saloon,"2,143 cc","125,000 km","Rs 11,750,000",Yes
Toyota,Allion,,2013,Automatic,Petrol,Saloon,"1,500 cc","134,500 km","Rs 11,750,000",Yes
Toyota,Axio,WXB Anniversary,2016,Automatic,Hybrid,Saloon,"1,500 cc","89,000 km","Rs 11,750,000",Yes
Toyota,Axio,WXB,2017,Automatic,Hybrid,Saloon,"1,500 cc","132,000 km","Rs 11,750,000",Yes
Toyota,Raize,G Grade,2024,Automatic,Petrol,Hatchback,"1,000 cc","23,600 km","Rs 11,750,000",Yes
Toyota,Allion,,2013,Automatic,Petrol,Saloon,"1,500 cc","134,500 km","Rs 11,750,000",Yes
Toyota,Roomy,Custom GT Black Top,2025,Automatic,Petrol,MPV,"1,000 cc",0 km,"Rs 11,750,000",Yes
Toyota,Roomy,Custom GT,2025,Automatic,Petrol,Station wagon,"1,000 cc",0 km,"Rs 11,750,000",Yes
Toyota,Allion,,2013,Automatic,Petrol,Saloon,"1,500 cc","134,500 km","Rs 11,750,000",Yes
Toyota,Prius,3rd Generation,2014,Automatic,Petrol,Saloon,"1,800 cc","110,800 km","Rs 11,750,000",Yes
Toyota,Allion,,2013,Automatic,Petrol,Saloon,"1,500 cc","134,500 km","Rs 11,750,000",Yes
Kia,Other Model,SONET GTX PLUS,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,775,000",Yes
Kia,Other Model,Sonet 1.0 L Gtx+,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,790,000",No
Kia,Other Model,Sonet 1.0 L Gtx+,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,790,000",No
Kia,Other Model,Sonet 1.0 L Gtx+,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,790,000",No
Kia,Other Model,SONET 1.0L GTX+,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,790,000",No
Kia,Other Model,Sonet 1.0 L GTX+,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,790,000",No
Kia,Other Model,Sonet 1.0L GTX,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,790,000",No
Toyota,Vanguard,PUSH START,2013,Automatic,Petrol,SUV / 4x4,"2,360 cc","196,000 km","Rs 11,790,000",Yes
Toyota,Axio,PUSH START SAFETY,2017,Automatic,Hybrid,Saloon,"1,490 cc","106,000 km","Rs 11,790,000",Yes
Toyota,Vanguard,PUSH START,2013,Automatic,Petrol,SUV / 4x4,"2,360 cc","196,000 km","Rs 11,790,000",Yes
Toyota,Axio,PUSH START SAFETY,2017,Automatic,Hybrid,Saloon,"1,490 cc","106,000 km","Rs 11,790,000",Yes
Toyota,Prius,S TOURING,2013,Automatic,Hybrid,Saloon,"1,800 cc","146,000 km","Rs 11,790,000",No
Volkswagen,Other Model,TAIGUN GT LINE B/NEW,2025,Automatic,Petrol,Station wagon,999 cc,0 km,"Rs 11,790,000",No
Volkswagen,Other Model,TAIGUN GT LINE,2025,Automatic,Petrol,Station wagon,999 cc,0 km,"Rs 11,790,000",No
Volkswagen,Other Model,TAIGUN GT LINE B/NEW,2025,Automatic,Petrol,Station wagon,999 cc,0 km,"Rs 11,790,000",No
Volkswagen,Other Model,TAIGUN GT LINE B/NEW,2025,Automatic,Petrol,Station wagon,999 cc,0 km,"Rs 11,790,000",No
Daihatsu,Rocky,Fully Lorded,2023,Automatic,Petrol,SUV / 4x4,"1,000 cc","17,000 km","Rs 11,795,000",No
Kia,Sorento,Kia,2011,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","130,000 km","Rs 11,800,000",Yes
Mini,Countryman,Fully loaded,2014,Automatic,Petrol,SUV / 4x4,"1,600 cc","71,000 km","Rs 11,800,000",No
Toyota,Allion,,2014,Automatic,Petrol,Saloon,"1,500 cc","250,200 km","Rs 11,800,000",Yes
Toyota,Allion,,2014,Automatic,Petrol,Saloon,"1,500 cc","250,200 km","Rs 11,800,000",Yes
Toyota,Axio,,2016,Automatic,Hybrid,Saloon,"1,490 cc","194,000 km","Rs 11,800,000",Yes
Toyota,Roomy,GT tubo,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,800,000",Yes
Toyota,Prius,,2015,Automatic,Petrol,Saloon,"1,800 cc","100,000 km","Rs 11,800,000",No
Toyota,Raize,Z Petrol,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,800,000",No
Toyota,Axio,WXB,2017,Automatic,Hybrid,Saloon,"1,499 cc","115,000 km","Rs 11,800,000",Yes
Toyota,Raize,G Turbo,2024,Automatic,Petrol,SUV / 4x4,"1,000 cc","11,999 km","Rs 11,825,000",No
Kia,Other Model,Sonet GTX Line,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,835,000",No
Honda,Grace,RS FULL OPTION,2017,Automatic,Hybrid,Saloon,"1,490 cc","107,000 km","Rs 11,850,000",Yes
Mercedes Benz,C220,2.2L Diesel,2012,Automatic,Diesel,Saloon,"2,200 cc","121,000 km","Rs 11,850,000",No
Suzuki,Jimny,XC  Grey,2025,Automatic,Petrol,Coupé/Sports,660 cc,0 km,"Rs 11,850,000",Yes
Toyota,CHR,NGX50,2017,Automatic,Petrol,SUV / 4x4,"1,200 cc","76,000 km","Rs 11,850,000",No
Toyota,CHR,NGX50,2017,Automatic,Petrol,SUV / 4x4,"1,200 cc","76,000 km","Rs 11,850,000",No
Toyota,CHR,NGX50,2017,Automatic,Petrol,SUV / 4x4,"1,200 cc","76,000 km","Rs 11,850,000",No
Toyota,Yaris,G LED - GR,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,850,000",Yes
Toyota,Axio,WXB Anniversary,2016,Automatic,Hybrid,Saloon,"1,500 cc","96,910 km","Rs 11,850,000",Yes
Toyota,Yaris,G LED BRAND NEW,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,850,000",No
Toyota,Hilux,1KD 3L 4WD Auto UK,2008,Automatic,Diesel,SUV / 4x4,"3,000 cc","157,000 km","Rs 11,850,000",Yes
Toyota,Raize,"Z Apple Car,4Way",2023,Automatic,Petrol,SUV / 4x4,"1,000 cc","9,738 km","Rs 11,850,000",Yes
Toyota,Raize,Z 4WD (A210A),2025,Automatic,Petrol,Hatchback,"1,000 cc",10 km,"Rs 11,850,000",Yes
Kia,Other Model,Gtx Plus Twotone,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,875,000",Yes
BMW,523i,E60,2007,Automatic,Petrol,Saloon,"2,500 cc","220,000 km","Rs 11,900,000",Yes
Daihatsu,Rocky,A201S Pre G-SDDD -A1,2024,Automatic,Petrol,SUV / 4x4,"1,200 cc","15,000 km","Rs 11,900,000",Yes
Honda,Vezel,RS,2017,Automatic,Hybrid,SUV / 4x4,"1,500 cc","72,000 km","Rs 11,900,000",No
Honda,Grace,EX,2016,Automatic,Petrol,Saloon,"1,490 cc","86,000 km","Rs 11,900,000",Yes
Kia,Other Model,Sonet GTX+ (Import),2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,900,000",No
Mitsubishi,Xpander,,2019,Automatic,Petrol,MPV,"1,500 cc","17,400 km","Rs 11,900,000",Yes
Nissan,Almera,1000cc,2025,Automatic,Petrol,,"1,000 cc",0 km,"Rs 11,900,000",Yes
Nissan,Almera,EL BRAND NEW,2025,Automatic,Petrol,Saloon,"1,000 cc",0 km,"Rs 11,900,000",Yes
Nissan,Almera,,2025,Automatic,Petrol,Saloon,"1,000 cc",0 km,"Rs 11,900,000",No
Nissan,Almera,,2025,Automatic,Petrol,Saloon,"1,000 cc",0 km,"Rs 11,900,000",No
Nissan,Almera,,2025,Automatic,Petrol,Saloon,"1,000 cc",0 km,"Rs 11,900,000",No
Suzuki,Swift,,2023,Automatic,Hybrid,,"1,200 cc","14,600 km","Rs 11,900,000",No
Suzuki,Swift,,2023,Automatic,Hybrid,,"1,200 cc","14,600 km","Rs 11,900,000",No
Suzuki,Swift,,2023,Automatic,Hybrid,,"1,200 cc","14,600 km","Rs 11,900,000",No
Toyota,Prius,2015 G Limited,2015,Automatic,Hybrid,Saloon,"1,800 cc","110,430 km","Rs 11,900,000",Yes
Toyota,Prius,3rd GEN,2013,Automatic,Hybrid,Saloon,"1,800 cc","95,000 km","Rs 11,900,000",No
Toyota,Prius,G Touring,2013,Automatic,Hybrid,Hatchback,"1,800 cc","181,600 km","Rs 11,900,000",No
Toyota,Urban Cruiser,TAISOR V GRADE,2024,Automatic,Hybrid,SUV / 4x4,"1,000 cc",100 km,"Rs 11,900,000",Yes
Toyota,Roomy,custom GT,2025,Automatic,Petrol,MPV,"1,000 cc","4,000 km","Rs 11,900,000",No
Toyota,Allion,,2013,Automatic,Petrol,Saloon,"1,500 cc","58,000 km","Rs 11,900,000",No
Volkswagen,T-Cross,TSI-Active,2023,Automatic,Petrol,Hatchback,"1,000 cc","29,000 km","Rs 11,900,000",Yes
Audi,A4,Audi,2011,Automatic,Petrol,Saloon,"1,800 cc","187,000 km","Rs 11,950,000",Yes
Honda,Civic,SR Package,2019,Automatic,Petrol,Hatchback,"1,000 cc","42,000 km","Rs 11,950,000",No
Kia,Other Model,Sonet GTX Plus,2026,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,950,000",No
Kia,Other Model,Sonet GTX Plus,2026,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,950,000",No
Kia,Other Model,Sonet GTX Plus,2026,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,950,000",No
Kia,Other Model,Sonet GTX Plus,2026,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,950,000",No
Kia,Other Model,Sonet GTX Plus,2026,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,950,000",No
Kia,Other Model,Sonet GTX Plus,2026,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,950,000",No
Kia,Other Model,Sonet GTX Plus,2026,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,950,000",No
Mercedes Benz,C180,W204 Luxury line,2011,Automatic,Petrol,,"1,800 cc","148,000 km","Rs 11,950,000",Yes
Ssang Yong,Rexton,W F Grade,2015,Automatic,Diesel,SUV / 4x4,"2,000 cc","148,000 km","Rs 11,950,000",Yes
Toyota,Raize,Z Grade,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 11,950,000",Yes
Toyota,Taisor,V Grade,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,950,000",Yes
Toyota,Raize,Z Grade,2023,Automatic,Petrol,SUV / 4x4,"1,000 cc","37,000 km","Rs 11,950,000",Yes
Toyota,Raize,Z 360 Camera,2024,Automatic,Petrol,Station wagon,"1,000 cc","2,000 km","Rs 11,950,000",Yes
Toyota,Roomy,Custom-G S Highest,2025,Automatic,Petrol,MPV,"1,000 cc",0 km,"Rs 11,950,000",Yes
Toyota,Roomy,GT Turbo,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 11,950,000",Yes
Toyota,Raize,Z Grade,2023,Automatic,Hybrid,SUV / 4x4,"1,000 cc","18,000 km","Rs 11,950,000",Yes
Toyota,Raize,Raize Z Grade 2025,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",17 km,"Rs 11,970,000",No
Maxus,Other Model,6,2015,Automatic,Petrol,Saloon,"2,000 cc","150,000 km","Rs 11,975,000",Yes
Toyota,Prius,Highest Spec,2013,Automatic,Hybrid,Saloon,"1,800 cc","50,000 km","Rs 11,975,000",Yes
Toyota,Yaris,Hybrid G 1500cc,2022,Automatic,Hybrid,Hatchback,"1,500 cc","16,000 km","Rs 11,990,000",Yes
Toyota,Land Cruiser Sahara,Lc300 D,2025,Tiptronic,Diesel,MPV,"3,500 cc",0 km,"Rs 110,000,000",Yes
Toyota,Land Cruiser Sahara,LC300 DIESEL ZX,2025,Automatic,Diesel,SUV / 4x4,"3,300 cc",0 km,"Rs 114,500,000",Yes
BMW,i7,REGISTERED,2023,Automatic,Electric,Saloon,400 cc,"18,000 km","Rs 115,000,000",No
BMW,X5,ALL NEW,2025,Automatic,Petrol,SUV / 4x4,"3,000 cc",0 km,"Rs 115,000,000",No
Toyota,Land Cruiser Sahara,LC300 VX,2024,Tiptronic,Diesel,SUV / 4x4,"3,500 cc","1,001 km","Rs 115,000,000",Yes
Toyota,Land Cruiser Sahara,300 Diesel ZX,2024,Automatic,Diesel,SUV / 4x4,"3,300 cc",0 km,"Rs 115,000,000",Yes
Mercedes Benz,Other Model,GLS 450d Premium +,2025,Automatic,Diesel,SUV / 4x4,"3,000 cc",0 km,"Rs 118,000,000",Yes
Mercedes Benz,Other Model,AMG GTS,2015,Automatic,Petrol,Coupé/Sports,"4,000 cc","8,400 km","Rs 119,000,000",Yes
Toyota,Land Cruiser Sahara,Sahara,2024,Automatic,Diesel,SUV / 4x4,"3,300 cc",100 km,"Rs 119,000,000",No
Audi,A3,1.8 Turbo,2014,Automatic,Petrol,Saloon,"1,800 cc","88,000 km","Rs 12,000,000",Yes
Audi,A3,TFSI,2016,Automatic,Petrol,Saloon,"1,800 cc","180,000 km","Rs 12,000,000",No
BMW,523i,BMW,2005,Automatic,Petrol,Saloon,"2,500 cc","235,000 km","Rs 12,000,000",Yes
BYD,Dolphin,Dynamic,2025,Automatic,Electric,Hatchback,70 cc,"10,000 km","Rs 12,000,000",Yes
Daihatsu,Rocky,A201S Pre G SDDD-A1,2025,Automatic,Petrol,SUV / 4x4,"1,200 cc","1,000 km","Rs 12,000,000",Yes
Honda,Civic,2018 SR,2018,Automatic,Petrol,Hatchback,"1,000 cc","88,600 km","Rs 12,000,000",Yes
Kia,Other Model,Sonet GTX Plus,2026,Automatic,Petrol,,"1,000 cc",0 km,"Rs 12,000,000",No
Land Rover,Discovery,5 Diesel with Lease,2020,Tiptronic,Diesel,SUV / 4x4,"2,000 cc","104,000 km","Rs 12,000,000",No
Land Rover,Freelander,TD4,2013,Automatic,Diesel,SUV / 4x4,"2,200 cc","140,000 km","Rs 12,000,000",Yes
Mitsubishi,Montero,,2002,Manual,Diesel,SUV / 4x4,"2,800 cc","210,000 km","Rs 12,000,000",Yes
Mitsubishi,Montero,Mitsubishi,2002,Automatic,Petrol,SUV / 4x4,"3,500 cc","168,000 km","Rs 12,000,000",Yes
Nissan,X-Trail,Nissan,2015,Automatic,Petrol,SUV / 4x4,"2,000 cc","94,000 km","Rs 12,000,000",Yes
Toyota,Urban Cruiser,V Grade Highest Spec,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 12,000,000",No
Toyota,Prius,,2012,Automatic,Hybrid,Saloon,"1,796 cc","66,000 km","Rs 12,000,000",Yes
Toyota,Raize,X GRADE,2023,Automatic,Petrol,SUV / 4x4,"1,200 cc","23,300 km","Rs 12,000,000",Yes
Toyota,Prius,S Limited,2015,Automatic,Hybrid,Saloon,"1,800 cc","175,000 km","Rs 12,000,000",Yes
Toyota,Premio,,2013,Automatic,Petrol,Saloon,"1,490 cc","125,000 km","Rs 12,000,000",Yes
Toyota,Roomy,GT Custom Turbo,2025,Automatic,Petrol,MPV,"1,000 cc",0 km,"Rs 12,000,000",Yes
Toyota,Roomy,Custom GT,2025,Automatic,Petrol,Hatchback,650 cc,0 km,"Rs 12,000,000",Yes
Toyota,Premio,G Superior,2013,Automatic,Petrol,Saloon,"1,500 cc","126,500 km","Rs 12,000,000",No
Toyota,Allion,G Grade,2014,Automatic,Petrol,Saloon,"1,500 cc","138,000 km","Rs 12,000,000",Yes
Toyota,Roomy,Roomy customGTTrubo,2025,Automatic,Petrol,MPV,"1,000 cc",0 km,"Rs 12,000,000",Yes
Toyota,Premio,G Superior,2014,Automatic,Petrol,Saloon,"1,500 cc","145,000 km","Rs 12,000,000",Yes
Toyota,Premio,,2014,Automatic,Petrol,Saloon,"1,500 cc","108,000 km","Rs 12,000,000",Yes
Toyota,Raize,Z PETROL,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,000,000",No
Toyota,Roomy,Custom GT,2025,Automatic,Petrol,MPV,"1,000 cc",0 km,"Rs 12,000,000",Yes
Toyota,Roomy,Custom GT,2025,Automatic,Petrol,MPV,"1,000 cc",0 km,"Rs 12,000,000",Yes
Toyota,Raize,Z 1000cc 360 cam,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,000,000",No
Toyota,Hilux,HILUX VIGO /HL2,2007,Manual,Diesel,SUV / 4x4,"2,494 cc","137,785 km","Rs 12,000,000",Yes
Toyota,Yaris,Yaris G,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 12,000,000",Yes
Toyota,Axio,,2017,Automatic,Hybrid,Saloon,"1,500 cc","110,000 km","Rs 12,000,000",Yes
Toyota,CHR,NGX50,2017,Automatic,Petrol,SUV / 4x4,"1,200 cc","56,000 km","Rs 12,000,000",Yes
Honda,Vezel,,2017,Tiptronic,Hybrid,SUV / 4x4,"1,500 cc","77,000 km","Rs 12,050,000",Yes
Honda,Civic,Civic EX,2017,Automatic,Petrol,Station wagon,"1,000 cc","117,300 km","Rs 12,050,000",Yes
Toyota,Raize,Z Grade,2023,Automatic,Petrol,SUV / 4x4,"1,200 cc","16,000 km","Rs 12,090,000",Yes
Hyundai,Venue,,2025,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,100,000",No
Hyundai,Venue,,2025,Tiptronic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,100,000",No
Nissan,Almera,VL,2025,Automatic,Petrol,Saloon,"1,000 cc",6 km,"Rs 12,100,000",Yes
Toyota,Aqua,X GRADE,2023,Tiptronic,Hybrid,Hatchback,"1,500 cc","40,000 km","Rs 12,100,000",No
Toyota,Urban Cruiser,Taisor V Brand New,2024,Automatic,Hybrid,SUV / 4x4,"1,000 cc",39 km,"Rs 12,100,000",No
Toyota,Urban Cruiser,Taisor V Brand New,2024,Automatic,Hybrid,SUV / 4x4,"1,000 cc",39 km,"Rs 12,100,000",No
Toyota,Taisor,V Highest Grade,2024,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 12,100,000",Yes
Toyota,Urban Cruiser,Taisor V Brand New,2024,Automatic,Hybrid,SUV / 4x4,"1,000 cc",39 km,"Rs 12,100,000",No
Toyota,Urban Cruiser,Taisor V Brand New,2024,Automatic,Hybrid,SUV / 4x4,"1,000 cc",39 km,"Rs 12,100,000",No
Toyota,Raize,1200CC PETROL G,2023,Automatic,Petrol,Hatchback,"1,200 cc","11,500 km","Rs 12,100,000",Yes
Toyota,Roomy,GT,2025,Automatic,Petrol,Station wagon,"1,000 cc",0 km,"Rs 12,100,000",Yes
Honda,Civic,2017,2017,Automatic,Petrol,Hatchback,"1,000 cc","84,800 km","Rs 12,130,000",Yes
Audi,A3,SE TFSI S-A,2017,Automatic,Petrol,Hatchback,"1,000 cc","51,618 km","Rs 12,150,000",No
Audi,A3,SE TFSI S-A,2017,Automatic,Petrol,Hatchback,"1,000 cc","51,618 km","Rs 12,150,000",No
Honda,Vezel,RS,2017,Automatic,Hybrid,SUV / 4x4,"1,500 cc","87,900 km","Rs 12,150,000",Yes
Mitsubishi,Outlander,PHEV,2015,Automatic,Hybrid,SUV / 4x4,"2,000 cc","153,000 km","Rs 12,150,000",Yes
Nissan,Almera,EL,2025,Automatic,Petrol,Saloon,"1,000 cc",6 km,"Rs 12,150,000",Yes
Toyota,Premio,G Superior,2013,Automatic,Petrol,Saloon,"1,500 cc","100,000 km","Rs 12,150,000",Yes
Toyota,Raize,Z Grade,2023,Automatic,Petrol,SUV / 4x4,"1,000 cc","13,000 km","Rs 12,150,000",Yes
Toyota,Raize,Z Grade,2023,Automatic,Petrol,SUV / 4x4,"1,000 cc","13,000 km","Rs 12,150,000",Yes
Toyota,Urban Cruiser,TAISOR V GRADE,2024,Automatic,Hybrid,SUV / 4x4,"1,000 cc",20 km,"Rs 12,150,000",Yes
Volkswagen,Polo,Tsi Style Package,2023,Automatic,Petrol,Hatchback,"1,000 cc","11,000 km","Rs 12,150,000",Yes
Toyota,Raize,Z,2023,Automatic,Petrol,SUV / 4x4,"1,000 cc","9,000 km","Rs 12,175,000",Yes
Audi,A1,Sline Sportsback,2020,Tiptronic,Petrol,Hatchback,"1,000 cc","63,999 km","Rs 12,200,000",Yes
Honda,Grace,2017,2017,Automatic,Hybrid,Saloon,"1,490 cc","170,000 km","Rs 12,200,000",Yes
Honda,Vezel,RS Sensing 2017,2017,Automatic,Hybrid,SUV / 4x4,"1,490 cc","47,850 km","Rs 12,200,000",Yes
Hyundai,Venue,HX10,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",10 km,"Rs 12,200,000",No
Kia,Sorento,Kia,2012,Automatic,Diesel,SUV / 4x4,"2,200 cc","133,000 km","Rs 12,200,000",Yes
Kia,Sorento,1-12 premium,2012,Automatic,Diesel,Station wagon,"2,200 cc","179,000 km","Rs 12,200,000",Yes
Land Rover,Freelander,2 TD4,2013,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","110,000 km","Rs 12,200,000",Yes
Land Rover,Freelander,2 TD4,2013,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","110,000 km","Rs 12,200,000",Yes
Land Rover,Freelander,2 TD4,2013,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","110,000 km","Rs 12,200,000",Yes
Mercedes Benz,C180,Black,2010,Automatic,Petrol,Saloon,"1,600 cc","142,000 km","Rs 12,200,000",Yes
Nissan,Almera,EL,2025,Automatic,Petrol,Saloon,"1,000 cc",6 km,"Rs 12,200,000",Yes
Toyota,Taisor,V,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,200,000",No
Toyota,Taisor,V,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,200,000",No
Toyota,Allion,2014,2014,Automatic,Petrol,Saloon,"1,500 cc","89,000 km","Rs 12,200,000",Yes
Toyota,Allion,2014,2014,Automatic,Petrol,Saloon,"1,500 cc","89,000 km","Rs 12,200,000",Yes
Toyota,Allion,2014,2014,Automatic,Petrol,Saloon,"1,500 cc","89,000 km","Rs 12,200,000",Yes
Toyota,Aqua,X Limited,2022,Automatic,Hybrid,Hatchback,"1,500 cc","25,000 km","Rs 12,200,000",No
Toyota,Prius,4th Gen,2016,Automatic,Petrol,,"1,800 cc","220,587 km","Rs 12,200,000",Yes
Toyota,Taisor,V,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,200,000",No
Toyota,Roomy,G Grade,2025,Automatic,Hybrid,SUV / 4x4,"1,000 cc",0 km,"Rs 12,200,000",Yes
Toyota,Taisor,V Grade,2024,Automatic,Hybrid,Hatchback,"1,000 cc",30 km,"Rs 12,200,000",No
Audi,Q2,Anniversary,2018,Tiptronic,Petrol,Hatchback,"1,000 cc","85,000 km","Rs 12,250,000",Yes
Audi,Q2,Audi Q2 2017,2017,Automatic,Petrol,SUV / 4x4,990 cc,"46,100 km","Rs 12,250,000",Yes
Audi,Q2,Sport 1.0 TFSI,2017,Tiptronic,Petrol,SUV / 4x4,"1,000 cc","160,000 km","Rs 12,250,000",Yes
Honda,Fit Shuttle,Navi Premium (GP-7),2016,Automatic,Hybrid,,"1,500 cc","56,000 km","Rs 12,250,000",Yes
Kia,Other Model,SONET GTX+,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,250,000",Yes
Kia,Sorento,12-Jan,2012,Automatic,Diesel,SUV / 4x4,"2,190 cc","145,000 km","Rs 12,250,000",Yes
Kia,Sorento,12-Jan,2012,Automatic,Diesel,SUV / 4x4,"2,190 cc","145,000 km","Rs 12,250,000",Yes
Skoda,Karoq,L Edition 2018,2018,Automatic,Petrol,SUV / 4x4,"1,000 cc","75,984 km","Rs 12,250,000",Yes
Toyota,Raize,Z,2025,Tiptronic,Petrol,Hatchback,"1,000 cc",25 km,"Rs 12,250,000",Yes
Toyota,Raize,G Grade,2024,Automatic,Petrol,SUV / 4x4,"1,000 cc","18,200 km","Rs 12,250,000",Yes
Toyota,Raize,Z Grade,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 12,275,000",Yes
Toyota,Premio,G SUPERIOR 1ST OWNER,2015,Automatic,Petrol,Saloon,"1,500 cc","175,000 km","Rs 12,290,000",Yes
Toyota,Land Cruiser Prado,95 1KZ,1997,Manual,Diesel,SUV / 4x4,"3,000 cc","230,000 km","Rs 12,290,000",Yes
Toyota,Taisor,V GRADE HIGHEST PACK,2025,Automatic,Petrol,Station wagon,"1,000 cc",0 km,"Rs 12,290,000",Yes
Honda,Vezel,Vezel RS Sensing,2017,Automatic,Hybrid,SUV / 4x4,"1,500 cc","76,000 km","Rs 12,300,000",Yes
Hyundai,Venue,HX10,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",8 km,"Rs 12,300,000",No
Mitsubishi,Outlander,PHEV,2013,Automatic,Petrol,SUV / 4x4,"2,000 cc","141,000 km","Rs 12,300,000",Yes
Suzuki,Jimny,Ultimate,2025,Automatic,Petrol,Hatchback,650 cc,0 km,"Rs 12,300,000",Yes
Toyota,Taisor,V Grade,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,300,000",Yes
Toyota,Aqua,X Grade,2023,Tiptronic,Hybrid,Hatchback,"1,500 cc","20,000 km","Rs 12,300,000",No
Toyota,Roomy,Custom G,2025,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 12,300,000",Yes
Toyota,Premio,260 G Superior,2014,Automatic,Petrol,Saloon,"1,500 cc","190,000 km","Rs 12,300,000",Yes
Toyota,Raize,RAIZE 2024,2024,Automatic,Petrol,Hatchback,"1,000 cc","13,000 km","Rs 12,300,000",Yes
Toyota,Raize,A201A - X - CVVV-A1,2024,Automatic,Petrol,SUV / 4x4,"1,200 cc","5,000 km","Rs 12,300,000",Yes
Toyota,Raize,Z Grade,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,300,000",Yes
Toyota,Raize,Z Grade,2025,Automatic,Petrol,SUV / 4x4,"1,000 cc",0 km,"Rs 12,300,000",Yes
